Designer,Category,Age,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
blumarine,Contemporary,19,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
michael kors,Contemporary,19,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
moschino cheap & chic,Contemporary,19,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
piazza sempione,Contemporary,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tse cashmere,Contemporary,19,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
yigal azrouel,Contemporary,19,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
yves saint laurent rive gauche,Contemporary,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eileen fisher,Contemporary,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wolford,Contemporary,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diane vonfurstenberg,Contemporary,19,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anna sui,Contemporary,19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
dolce & gabbana,Contemporary,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
elie tahari,Contemporary,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
just cavalli,Contemporary,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
milly,Contemporary,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
moschino jeans,Contemporary,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
theory,Contemporary,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vince,Contemporary,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
isabella fiore,Contemporary,19,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kate spade,Contemporary,19,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
luella,Contemporary,19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lulu guinness,Contemporary,19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paul smith,Contemporary,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tod's for ferrari,Contemporary,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g-series,Contemporary,19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stuart weitzman,Contemporary,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
stubbs & wootton,Contemporary,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alberta ferretti,Luxury,19,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
armani collezioni,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
burberry,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
chloe,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dolce & gabbana,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
etro,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jean paul gaultier,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
valentino,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bottega veneta,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
emilio pucci,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
fendi,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gucci,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
prada,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
salvatore ferragamo,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tod's,Luxury,19,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
christian lacroix,Luxury,19,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christian louboutin,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
manolo blahnik,Luxury,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
christian dior,Luxury,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
donna karan collection,Premium,19,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
eskandar,Premium,19,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
marc jacobs,Premium,19,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
narciso rodriguez,Premium,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
roberto cavalli,Premium,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
valentino roma,Premium,19,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zac posen,Premium,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
ferragamo,Premium,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
judith leiber,Premium,19,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
lambertson truex,Premium,19,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miu miu,Premium,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
giuseppe zanotti,Premium,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
robert clergerie,Premium,19,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
marc jacobs,Premium,19,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
